TABLE,PKEY,NAME,PROJECTID,SETID,PID,Device,Point,ADDRSLCT,ADDRESS,ALIAS,ALIASTYPE,P1,P2,P3,P4,P5,P6,P7,P8,TYPE,FORMAT,ISMODIFY,MSINPUT,MSOUTPUT,MSAUTOSUBS
DESetStatus,13835,9b645acf-650f-4c02-a850-4406f5811348,0,GW3RMUC06,"PCPTHO_RC0010CM_T2,SFAL",UC001033,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13836,56517827-fa8e-4e3b-a72c-d49d44898a5e,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,SFAL",UC001073,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13837,e2c9e5a2-d7e2-47ed-9f9e-aaf6247f5ab3,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,SFAL",UC001075,SFAL,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13838,f3d3c0d5-3ba1-4f31-85a6-c8fbc57f0433,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,VAPR",UC001071,VAPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13839,e047d274-7543-440a-997d-ee8dc3793277,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,VAPR",UC001073,VAPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13840,6206cc02-abdb-4ce1-90fc-e53c79ecd529,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,VAPR",UC001075,VAPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13841,091ac502-e92e-4417-a0bc-7725400daaeb,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,VBPR",UC001075,VBPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13842,69aca20a-71da-44ba-99d1-c4d54e6e0ea5,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,VBPR",UC001073,VBPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13843,77c30021-e27e-4679-8adc-0c36c589419a,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,VBPR",UC001071,VBPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13844,e0e00334-a22d-44d7-85ae-bea640fbb826,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,VCPR",UC001075,VCPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13845,7008e6f7-be61-41f7-a723-11446fa20926,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,VCPR",UC001073,VCPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13846,b1a5acf1-51c7-41b3-a9d7-1c5bd2ae4e27,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,VCPR",UC001071,VCPR,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13847,a3e3af86-bb6a-4b67-8a3f-4a202e1cc57b,0,GW3RMUC06,"PCPTHO_RC0010CM_K2,VLPS",UC001073,VLPS,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13848,a739dffd-103a-43c4-acc9-2d77f3eab3b5,0,GW3RMUC06,"PCPTHO_RC0010CM_K1,VLPS",UC001071,VLPS,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DESetStatus,13849,89297373-e47a-40c5-9e4b-2a887cb2cdca,0,GW3RMUC06,"PCPTHO_RC0010CM_K3,VLPS",UC001075,VLPS,0,101,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
