TABLE,PKEY,NAME,PROJECTID,SETID,PID,ADDRSLCT,ADDRESS,ALIAS,ALIASTYPE,P1,P2,P3,P4,P5,P6,P7,P8,TYPE,FORMAT,ISSCALE,SCALEOFFST,SCALEFACT,ISDEADBAND,DEADBAND,ISMODIFY,MSINPUT,MSOUTPUT,MSAUTOSUBS,MSUNIT
DESetAnalog,8406,d27f637b-2133-42aa-a265-5482d11a2b8d,0,GW3RMUC06,"PCPTHO_RC0007CM_K2,IB",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8407,7965bb47-04e2-491e-b462-48cf8d327200,0,GW3RMUC06,"PCPTHO_RC0007CM_K2,IC",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8408,b8cf732f-ffa0-46b7-bf6b-59b6d11eae82,0,GW3RMUC06,"PCPTHO_RC0007CM_K1,IC",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1,0
DESetAnalog,8409,05f31f5b-22a0-4efb-95eb-c5ef277677a7,0,GW3RMUC06,"PCPTHO_RC0007CM_K3,IC",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8410,91a67224-8d9b-44bb-a73a-bf426c8b34c9,0,GW3RMUC06,"PCPTHO_RC0007CM_K1,IN",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1,0
DESetAnalog,8411,a94162d1-de72-48bb-b130-c5e1ebc55570,0,GW3RMUC06,"PCPTHO_RC0007CM_K3,IN",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8412,676c4616-1ca2-48b4-9a79-d454d6a693d5,0,GW3RMUC06,"PCPTHO_RC0007CM_K2,IN",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8413,77217691-b22f-4df3-8543-682da235e2f2,0,GW3RMUC06,"PCPTHO_RC0007CM_K3,PF",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8414,2087d6cc-eb47-4fe4-a4b0-5a1e4b5d8911,0,GW3RMUC06,"PCPTHO_RC0007CM_K2,PF",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8415,5c5ed4ee-a721-4ad6-b61a-36072e56e79f,0,GW3RMUC06,"PCPTHO_RC0007CM_K1,PF",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
